trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,16.4748607,17.0909822,17.0909822,17.1091124,17.3924395,left,-10,1,1,2.7144783,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
1,2,8,19.8399251,20.3232171,20.3232171,20.3398418,20.6259506,left,-8,1,1,0.9968062,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
2,2,6,21.3431125,21.8429123,21.8429123,21.859278,22.1428461,right,6,1,1,0.7155997,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
3,2,4,22.5756546,23.075815,23.075815,23.075815,23.3758524,right,4,1,1,0.6620684,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
4,2,2,23.7590521,24.259421,24.259421,24.259421,24.5589502,left,-2,1,1,0.7141527,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
5,1,0,24.9918167,25.4917839,25.4917839,25.4917839,25.7920656,left,0,0,0,0.3311762,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
6,1,1,25.8416898,26.3421555,26.3421555,26.3421555,26.6425735,left,-1,1,1,0.4593652,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
7,1,1,26.8239762,27.3247614,27.3247614,27.3247614,27.6246224,left,-1,1,1,0.4961121,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
8,1,1,27.8402498,28.3405074,28.3405074,28.3405074,28.6411287,left,-1,1,1,0.4466403,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
9,0.5,0,28.8217205,29.3067335,29.3067335,29.3242134,29.6080229,right,0,0,0,0.4175931,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
10,0.5,0.5,29.7404901,30.2387023,30.2387023,30.3040111,30.5412165,right,0.5,0,0,0.4182574,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
11,0.5,1,30.6728317,31.1742036,31.1742036,31.1742036,31.4732895,left,-1,1,1,0.3559854,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
12,0.5,1,31.557625,32.0564729,32.0564729,32.0564729,32.3571326,right,1,0,0,0.3466664,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
13,0.5,1.5,32.4237571,32.9239246,32.9239246,32.9239246,33.2238007,left,-1.5,1,1,0.3213431,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
14,0.5,1.5,33.2735692,33.7731129,33.7731129,33.7731129,34.0738257,right,1.5,0,0,0.39619,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
15,0.5,2,34.1899749,34.6896539,34.6896539,34.6896539,34.9896832,right,2,1,1,0.6599577,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
16,0.5,2,35.3867523,35.8718975,35.8718975,35.8896188,36.1857489,right,2,1,1,0.5775379,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
17,0.5,2,36.472147,36.971738,36.971738,36.971738,37.2720752,right,2,1,1,0.4867083,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
18,0.5,1.5,37.4882077,37.9881545,37.9881545,37.9881545,38.2880871,right,1.5,1,1,0.6280867,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
19,0.5,1.5,38.6381675,39.1388109,39.1388109,39.1388109,39.4387989,right,1.5,1,1,0.6093469,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
20,0.5,1.5,39.7722672,40.2715412,40.2715412,40.2874409,40.5709444,right,1.5,1,1,0.8537506,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
